Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;Producción
"Cebada total";2016/17;"BUENOS AIRES";"25 DE MAYO";6;854;18020
"Cebada total";2017/18;"BUENOS AIRES";"25 DE MAYO";6;854;15808
"Cebada total";2018/19;"BUENOS AIRES";"25 DE MAYO";6;854;48625
"Cebada total";2019/20;"BUENOS AIRES";"25 DE MAYO";6;854;49400
"Cebada total";2020/21;"BUENOS AIRES";"25 DE MAYO";6;854;46652
"Cebada total";2021/22;"BUENOS AIRES";"25 DE MAYO";6;854;50001
"Cebada total";2022/23;"BUENOS AIRES";"25 DE MAYO";6;854;44629
"Cebada total";2023/24;"BUENOS AIRES";"25 DE MAYO";6;854;36582
"Cebada total";2024/25;"BUENOS AIRES";"25 DE MAYO";6;854;35438
"Cebada total";2016/17;"BUENOS AIRES";"9 DE JULIO";6;588;39920
"Cebada total";2017/18;"BUENOS AIRES";"9 DE JULIO";6;588;16875
"Cebada total";2018/19;"BUENOS AIRES";"9 DE JULIO";6;588;15092
"Cebada total";2019/20;"BUENOS AIRES";"9 DE JULIO";6;588;26532
"Cebada total";2020/21;"BUENOS AIRES";"9 DE JULIO";6;588;14236
"Cebada total";2021/22;"BUENOS AIRES";"9 DE JULIO";6;588;37825
"Cebada total";2022/23;"BUENOS AIRES";"9 DE JULIO";6;588;39123
"Cebada total";2023/24;"BUENOS AIRES";"9 DE JULIO";6;588;8970
"Cebada total";2024/25;"BUENOS AIRES";"9 DE JULIO";6;588;30800
"Cebada total";2016/17;"BUENOS AIRES";"ADOLFO ALSINA";6;7;72000
"Cebada total";2017/18;"BUENOS AIRES";"ADOLFO ALSINA";6;7;44820
"Cebada total";2018/19;"BUENOS AIRES";"ADOLFO ALSINA";6;7;46720
"Cebada total";2019/20;"BUENOS AIRES";"ADOLFO ALSINA";6;7;54600
"Cebada total";2020/21;"BUENOS AIRES";"ADOLFO ALSINA";6;7;91200
"Cebada total";2021/22;"BUENOS AIRES";"ADOLFO ALSINA";6;7;102300
"Cebada total";2022/23;"BUENOS AIRES";"ADOLFO ALSINA";6;7;99900
"Cebada total";2023/24;"BUENOS AIRES";"ADOLFO ALSINA";6;7;89600
"Cebada total";2024/25;"BUENOS AIRES";"ADOLFO ALSINA";6;7;81000
"Cebada total";2016/17;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;80477
"Cebada total";2017/18;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;138072
"Cebada total";2018/19;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;120939
"Cebada total";2019/20;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;108500
"Cebada total";2020/21;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;128656
"Cebada total";2021/22;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;120152
"Cebada total";2022/23;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;181162
"Cebada total";2023/24;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;200758
"Cebada total";2024/25;"BUENOS AIRES";"ADOLFO GONZALES CHAVES";6;14;167273
"Cebada total";2016/17;"BUENOS AIRES";ALBERTI;6;21;20070
"Cebada total";2017/18;"BUENOS AIRES";ALBERTI;6;21;18585
"Cebada total";2018/19;"BUENOS AIRES";ALBERTI;6;21;17248
"Cebada total";2019/20;"BUENOS AIRES";ALBERTI;6;21;15840
"Cebada total";2020/21;"BUENOS AIRES";ALBERTI;6;21;18212
"Cebada total";2021/22;"BUENOS AIRES";ALBERTI;6;21;22250
"Cebada total";2022/23;"BUENOS AIRES";ALBERTI;6;21;10434
"Cebada total";2023/24;"BUENOS AIRES";ALBERTI;6;21;9660
"Cebada total";2024/25;"BUENOS AIRES";ALBERTI;6;21;21200
"Cebada total";2016/17;"BUENOS AIRES";ARRECIFES;6;77;976
"Cebada total";2017/18;"BUENOS AIRES";ARRECIFES;6;77;3040
"Cebada total";2018/19;"BUENOS AIRES";ARRECIFES;6;77;9934
"Cebada total";2019/20;"BUENOS AIRES";ARRECIFES;6;77;4583
"Cebada total";2020/21;"BUENOS AIRES";ARRECIFES;6;77;3330
"Cebada total";2021/22;"BUENOS AIRES";ARRECIFES;6;77;11790
"Cebada total";2022/23;"BUENOS AIRES";ARRECIFES;6;77;4151
"Cebada total";2023/24;"BUENOS AIRES";ARRECIFES;6;77;2250
"Cebada total";2024/25;"BUENOS AIRES";ARRECIFES;6;77;6943
"Cebada total";2016/17;"BUENOS AIRES";AYACUCHO;6;42;243
"Cebada total";2017/18;"BUENOS AIRES";AYACUCHO;6;42;448
"Cebada total";2018/19;"BUENOS AIRES";AYACUCHO;6;42;4600
"Cebada total";2019/20;"BUENOS AIRES";AYACUCHO;6;42;3200
"Cebada total";2020/21;"BUENOS AIRES";AYACUCHO;6;42;17760
"Cebada total";2021/22;"BUENOS AIRES";AYACUCHO;6;42;29712
"Cebada total";2022/23;"BUENOS AIRES";AYACUCHO;6;42;14200
"Cebada total";2023/24;"BUENOS AIRES";AYACUCHO;6;42;33280
"Cebada total";2024/25;"BUENOS AIRES";AYACUCHO;6;42;32016
"Cebada total";2016/17;"BUENOS AIRES";AZUL;6;49;96996
"Cebada total";2017/18;"BUENOS AIRES";AZUL;6;49;129492
"Cebada total";2018/19;"BUENOS AIRES";AZUL;6;49;177337
"Cebada total";2019/20;"BUENOS AIRES";AZUL;6;49;125550
"Cebada total";2020/21;"BUENOS AIRES";AZUL;6;49;139962
"Cebada total";2021/22;"BUENOS AIRES";AZUL;6;49;210600
"Cebada total";2022/23;"BUENOS AIRES";AZUL;6;49;122822
"Cebada total";2023/24;"BUENOS AIRES";AZUL;6;49;210900
"Cebada total";2024/25;"BUENOS AIRES";AZUL;6;49;159565
"Cebada total";2016/17;"BUENOS AIRES";"BAHIA BLANCA";6;56;9334
"Cebada total";2017/18;"BUENOS AIRES";"BAHIA BLANCA";6;56;21700
"Cebada total";2018/19;"BUENOS AIRES";"BAHIA BLANCA";6;56;23153
"Cebada total";2019/20;"BUENOS AIRES";"BAHIA BLANCA";6;56;8933
"Cebada total";2020/21;"BUENOS AIRES";"BAHIA BLANCA";6;56;25931
"Cebada total";2021/22;"BUENOS AIRES";"BAHIA BLANCA";6;56;16240
"Cebada total";2022/23;"BUENOS AIRES";"BAHIA BLANCA";6;56;32497
"Cebada total";2023/24;"BUENOS AIRES";"BAHIA BLANCA";6;56;7800
"Cebada total";2024/25;"BUENOS AIRES";"BAHIA BLANCA";6;56;33700
"Cebada total";2016/17;"BUENOS AIRES";BALCARCE;6;63;71794
"Cebada total";2017/18;"BUENOS AIRES";BALCARCE;6;63;66608
"Cebada total";2018/19;"BUENOS AIRES";BALCARCE;6;63;86247
"Cebada total";2019/20;"BUENOS AIRES";BALCARCE;6;63;69053
"Cebada total";2020/21;"BUENOS AIRES";BALCARCE;6;63;73248
"Cebada total";2021/22;"BUENOS AIRES";BALCARCE;6;63;153184
"Cebada total";2022/23;"BUENOS AIRES";BALCARCE;6;63;99649
"Cebada total";2023/24;"BUENOS AIRES";BALCARCE;6;63;157762
"Cebada total";2024/25;"BUENOS AIRES";BALCARCE;6;63;116525
"Cebada total";2016/17;"BUENOS AIRES";BARADERO;6;70;3895
"Cebada total";2017/18;"BUENOS AIRES";BARADERO;6;70;2730
"Cebada total";2018/19;"BUENOS AIRES";BARADERO;6;70;5060
"Cebada total";2019/20;"BUENOS AIRES";BARADERO;6;70;1900
"Cebada total";2020/21;"BUENOS AIRES";BARADERO;6;70;1710
"Cebada total";2021/22;"BUENOS AIRES";BARADERO;6;70;12758
"Cebada total";2022/23;"BUENOS AIRES";BARADERO;6;70;2858
"Cebada total";2023/24;"BUENOS AIRES";BARADERO;6;70;7425
"Cebada total";2024/25;"BUENOS AIRES";BARADERO;6;70;7140
"Cebada total";2016/17;"BUENOS AIRES";"BENITO JUAREZ";6;84;67400
"Cebada total";2017/18;"BUENOS AIRES";"BENITO JUAREZ";6;84;137984
"Cebada total";2018/19;"BUENOS AIRES";"BENITO JUAREZ";6;84;140342
"Cebada total";2019/20;"BUENOS AIRES";"BENITO JUAREZ";6;84;145220
"Cebada total";2020/21;"BUENOS AIRES";"BENITO JUAREZ";6;84;87383
"Cebada total";2021/22;"BUENOS AIRES";"BENITO JUAREZ";6;84;214035
"Cebada total";2022/23;"BUENOS AIRES";"BENITO JUAREZ";6;84;120693
"Cebada total";2023/24;"BUENOS AIRES";"BENITO JUAREZ";6;84;239400
"Cebada total";2024/25;"BUENOS AIRES";"BENITO JUAREZ";6;84;173903
"Cebada total";2016/17;"BUENOS AIRES";BOLIVAR;6;105;38250
"Cebada total";2017/18;"BUENOS AIRES";BOLIVAR;6;105;26400
"Cebada total";2018/19;"BUENOS AIRES";BOLIVAR;6;105;52822
"Cebada total";2019/20;"BUENOS AIRES";BOLIVAR;6;105;86940
"Cebada total";2020/21;"BUENOS AIRES";BOLIVAR;6;105;108000
"Cebada total";2021/22;"BUENOS AIRES";BOLIVAR;6;105;93380
"Cebada total";2022/23;"BUENOS AIRES";BOLIVAR;6;105;119250
"Cebada total";2023/24;"BUENOS AIRES";BOLIVAR;6;105;129225
"Cebada total";2024/25;"BUENOS AIRES";BOLIVAR;6;105;113100
"Cebada total";2016/17;"BUENOS AIRES";BRAGADO;6;112;24651
"Cebada total";2017/18;"BUENOS AIRES";BRAGADO;6;112;25245
"Cebada total";2018/19;"BUENOS AIRES";BRAGADO;6;112;23285
"Cebada total";2019/20;"BUENOS AIRES";BRAGADO;6;112;16632
"Cebada total";2020/21;"BUENOS AIRES";BRAGADO;6;112;19776
"Cebada total";2021/22;"BUENOS AIRES";BRAGADO;6;112;31150
"Cebada total";2022/23;"BUENOS AIRES";BRAGADO;6;112;10688
"Cebada total";2023/24;"BUENOS AIRES";BRAGADO;6;112;6440
"Cebada total";2024/25;"BUENOS AIRES";BRAGADO;6;112;40800
"Cebada total";2016/17;"BUENOS AIRES";BRANDSEN;6;119;4950
"Cebada total";2017/18;"BUENOS AIRES";BRANDSEN;6;119;3432
"Cebada total";2018/19;"BUENOS AIRES";BRANDSEN;6;119;3796
"Cebada total";2019/20;"BUENOS AIRES";BRANDSEN;6;119;4000
"Cebada total";2020/21;"BUENOS AIRES";BRANDSEN;6;119;3840
"Cebada total";2021/22;"BUENOS AIRES";CAMPANA;6;126;1265
"Cebada total";2022/23;"BUENOS AIRES";CAMPANA;6;126;414
"Cebada total";2023/24;"BUENOS AIRES";CAMPANA;6;126;1320
"Cebada total";2024/25;"BUENOS AIRES";CAMPANA;6;126;1260
"Cebada total";2016/17;"BUENOS AIRES";CANUELAS;6;134;15360
"Cebada total";2017/18;"BUENOS AIRES";CANUELAS;6;134;10350
"Cebada total";2018/19;"BUENOS AIRES";CANUELAS;6;134;12012
"Cebada total";2019/20;"BUENOS AIRES";CANUELAS;6;134;10000
"Cebada total";2020/21;"BUENOS AIRES";CANUELAS;6;134;9600
"Cebada total";2021/22;"BUENOS AIRES";CANUELAS;6;134;880
"Cebada total";2022/23;"BUENOS AIRES";CANUELAS;6;134;200
"Cebada total";2023/24;"BUENOS AIRES";CANUELAS;6;134;1160
"Cebada total";2024/25;"BUENOS AIRES";CANUELAS;6;134;1288
"Cebada total";2016/17;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;4200
"Cebada total";2017/18;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;1845
"Cebada total";2018/19;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;1159
"Cebada total";2019/20;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;1400
"Cebada total";2020/21;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;1365
"Cebada total";2021/22;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;1610
"Cebada total";2022/23;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;406
"Cebada total";2023/24;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;3825
"Cebada total";2024/25;"BUENOS AIRES";"CAPITAN SARMIENTO";6;140;3870
"Cebada total";2016/17;"BUENOS AIRES";"CARLOS CASARES";6;147;23832
"Cebada total";2017/18;"BUENOS AIRES";"CARLOS CASARES";6;147;28500
"Cebada total";2018/19;"BUENOS AIRES";"CARLOS CASARES";6;147;32124
"Cebada total";2019/20;"BUENOS AIRES";"CARLOS CASARES";6;147;21600
"Cebada total";2020/21;"BUENOS AIRES";"CARLOS CASARES";6;147;26030
"Cebada total";2021/22;"BUENOS AIRES";"CARLOS CASARES";6;147;40068
"Cebada total";2022/23;"BUENOS AIRES";"CARLOS CASARES";6;147;11648
"Cebada total";2023/24;"BUENOS AIRES";"CARLOS CASARES";6;147;12252
"Cebada total";2024/25;"BUENOS AIRES";"CARLOS CASARES";6;147;36143
"Cebada total";2016/17;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;27350
"Cebada total";2017/18;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;25530
"Cebada total";2018/19;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;22615
"Cebada total";2019/20;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;21072
"Cebada total";2020/21;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;28968
"Cebada total";2021/22;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;44218
"Cebada total";2022/23;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;16166
"Cebada total";2023/24;"BUENOS AIRES";"CARLOS TEJEDOR";6;154;1188
